Time,price,volume
2019-04-15,5237.750591,1106492147
2019-04-22,5355.569273,1866875391
2019-04-29,5486.138263,1450600678
2019-05-06,6261.938849,3361770963
2019-05-13,7700.582323,5442422164
2019-05-20,7930.649097,2874345026
2019-05-27,8608.356193,3013979586
2019-06-03,7948.258315,2901812357
2019-06-10,8296.340607,2770161180
2019-06-17,9720.798971,4375741783
2019-06-24,11657.62323,9779758199
2019-07-01,11142.79192,6074175336
2019-07-08,11764.96489,6468951400
2019-07-15,10315.64321,5635944676
2019-07-22,9908.495009,3002208866
2019-07-29,10165.43549,2558241242
2019-08-05,11674.39076,4278194809
2019-08-12,10563.09309,3199125611
2019-08-19,10325.61051,2371141189
2019-08-26,9863.474511,2078427337
2019-09-02,10460.23709,2474571396
2019-09-09,10274.68956,1573735582
2019-09-16,10143.43519,1625410690
2019-09-23,8643.151259,3542010239
2019-09-30,8202.127705,1737133174
2019-10-07,8343.961138,1825217033
2019-10-14,8122.352725,1710407160
2019-10-21,8333.884443,3704181338
2019-10-28,9279.888076,2028775548
2019-11-04,9141.195765,1530116563
2019-11-11,8675.287439,1156419689
2019-11-18,7789.630782,2074562859
2019-11-25,7405.813607,2193795364
2019-12-02,7425.450753,1309278602
2019-12-09,7278.940154,1102688591
2019-12-16,7092.503329,1723242802
2019-12-23,7342.2673,1178869084
2019-12-30,7293.228984,1136473656
2020-01-06,7991.059379,2185376613
2020-01-13,8698.43871,2532033295
2020-01-20,8538.308612,1355439630
2020-01-27,9235.80321,2067519063
2020-02-03,9618.014667,2105198561
2020-02-10,10115.68327,2631412024
2020-02-17,9797.393784,2141720421
2020-02-24,9036.784517,2226028205
2020-03-02,8899.851965,1862736114
2020-03-09,6684.889356,6409495264
2020-03-16,5757.424605,4843236787
2020-03-23,6477.752258,3279589510
2020-03-30,6618.08205,2426833810
2020-04-06,7131.640445,2506092134
2020-04-13,6983.955572,2165732764
2020-04-20,7276.914602,2089681860
2020-04-27,8457.561703,4029469359
2020-05-04,9237.446155,4968869753
2020-05-11,9238.333627,4125195034
2020-05-18,9399.316348,3008007217
